contract_id,counterpart_id,date,number,quantity_mt,delivery_due_date,total_by_ctr,price_without_vat,vat,price_with_vat,shipped_by_supplier_mt,received_on_wh_mt,contract_group_id,contract_type_id
1,3,2023-07-31,7429670,28600.0,2023-11-18,675052950.0000001,23603.250000000004,0.0,23603.250000000004,28562.218,28562.218,94,36
2,2,2024-01-21,7496406,1900.0,2024-02-19,81395050.0,42839.5,0.0,42839.5,1902.7800000000002,1902.7800000000002,97,36
3,2,2024-01-21,7459523,730.0,2024-02-19,14004320.0,19184.0,0.0,19184.0,734.844,734.844,96,36
4,234,2024-01-27,7497094,70.0,2024-02-01,3218600.0000000005,41800.0,0.1,45980.00000000001,74.89900000000002,74.89900000000002,54,18
5,2,2023-11-22,7443556,3700.0,2024-01-19,95807800.00000001,25894.000000000004,0.0,25894.000000000004,3618.5270000000005,3618.5270000000005,95,36
6,2,2023-10-26,7444069,3700.0,2024-05-05,70448000.0,19040.0,0.0,19040.0,3677.773,3677.773,98,36
7,1,2024-04-05,7421472,150.0,2024-05-18,9627750.000000002,64185.00000000001,0.0,64185.00000000001,154.4904,154.4904,99,36
8,2,2024-08-26,7423889,4500.0,2024-09-17,74925000.0,16650.0,0.0,16650.0,4410.0,4410.0,100,36
9,2,2024-08-23,7431429,6100.0,2024-09-13,124135000.0,20350.0,0.0,20350.0,6002.424999999999,6002.424999999999,101,36
10,2,2024-09-26,7443777,4000.0,2024-10-14,84000000.0,21000.0,0.0,21000.0,3910.548,3910.548,102,36
11,2,2024-10-13,7482739,4000.0,2024-11-12,77000000.0,19250.0,0.0,19250.0,3960.348,3960.348,103,36
12,2,2024-10-13,7460756,3700.0,2024-11-11,71225000.0,19250.0,0.0,19250.0,3622.52,3622.52,104,36
13,2,2024-11-04,7497240,6500.0,2024-11-25,148200000.0,22800.0,0.0,22800.0,6463.574,6463.574,105,36
14,245,2024-09-10,7429873,4000.0,2024-11-25,4953599.999999999,1238.3999999999999,0.0,1238.3999999999999,,0.0,109,33
15,2,2024-11-03,7478550,7800.0,2024-11-24,163020000.0,20900.0,0.0,20900.0,7746.211000000001,7746.211000000001,106,36
16,245,2024-10-24,7453030,3000.0,2024-11-24,1653300.0,551.1,0.0,551.1,,0.0,110,33
17,23,2023-08-18,7441182,1000.0,2023-09-01,18370000.0,16700.0,0.1,18370.0,962.788,962.788,61,18
18,30,2023-08-16,7415436,100.0,2023-08-29,1628000.0000000002,14800.0,0.1,16280.000000000002,104.94500000000001,104.995,62,18
19,44,2023-09-05,7479613,2800.0,2023-09-18,52668000.0,17100.0,0.1,18810.0,2758.332,2758.332,63,18
20,62,2023-08-17,7452961,1200.0,2023-09-11,25080000.0,19000.0,0.1,20900.0,1239.2320000000002,1239.2320000000002,64,18
21,80,2023-08-24,7418480,1000.0,2023-09-03,18700000.0,17000.0,0.1,18700.0,1022.5400000000002,1022.5400000000002,65,18
22,80,2023-08-24,7489642,200.0,2023-09-03,3388000.0,16940.0,0.0,16940.0,202.072,202.072,66,18
23,83,2023-09-26,7467799,300.0,2023-10-13,6600000.0,20000.0,0.1,22000.0,300.23400000000004,300.23400000000004,67,18
24,91,2023-08-21,7485054,460.0,2023-09-11,9841700.0,19450.0,0.1,21395.0,463.182,463.182,68,18
25,91,2023-09-12,7468661,110.0,2023-09-18,2502280.0000000005,22748.000000000004,0.0,22748.000000000004,114.86800000000001,114.86800000000001,69,18
26,118,2023-09-30,7492317,1600.0,2023-10-04,43120000.00000001,24500.0,0.1,26950.000000000004,1650.0000000000002,1650.0000000000002,70,18
27,119,2023-09-21,7411737,140.0,2023-09-28,3003000.0,21450.0,0.0,21450.0,140.853,140.853,71,18
28,132,2023-09-21,7450266,140.0,2023-09-28,2648800.0,17200.0,0.1,18920.0,140.582,140.582,72,18
29,134,2023-09-05,7466427,980.0,2023-09-18,18433800.0,17100.0,0.1,18810.0,975.169,975.169,73,18
30,146,2023-09-22,7472423,60.0,2023-09-29,1287000.0,19500.0,0.1,21450.0,78.065,78.065,74,18
31,168,2023-10-04,7420437,910.0,2023-11-04,20020000.0,20000.0,0.1,22000.0,910.6240000000001,910.6240000000001,75,18
32,210,2023-08-11,7409955,170.0,2023-09-04,2805000.0,16500.0,0.0,16500.0,168.0,168.0,76,18
33,213,2023-08-09,7415903,1400.0,2023-09-03,25872000.0,16800.0,0.1,18480.0,1301.928,1301.928,77,18
34,254,2023-08-16,7496408,1100.0,2023-09-04,23760000.0,19636.363636363636,0.1,21600.0,1132.89,1132.89,78,18
35,269,2023-09-12,7493397,260.0,2023-09-21,4862000.0,17000.0,0.1,18700.0,260.546,260.546,79,18
36,281,2023-08-11,7446845,120.0,2023-08-19,2455200.0,20460.0,0.0,20460.0,122.69400000000002,122.69400000000002,80,18
37,287,2023-08-08,7465411,70.0,2023-08-15,1424500.0,20350.0,0.0,20350.0,93.78,93.78,81,18
38,47,2023-08-21,7462386,570.0,2023-09-03,11035200.0,17600.0,0.1,19360.0,566.984,566.984,82,18
39,76,2023-08-01,7441421,4000.0,2023-08-20,77880000.0,17700.0,0.1,19470.0,4051.8360000000002,4051.8360000000002,84,18
40,219,2023-08-02,7436717,5800.0,2023-08-18,108460000.0,17000.0,0.1,18700.0,5776.295999999999,5776.295999999999,85,18
41,219,2023-08-23,7407255,820.0,2023-09-13,15785000.0,17500.0,0.1,19250.0,816.1719999999999,816.1719999999999,86,18
42,141,2023-08-03,7423246,280.0,2023-08-29,6200040.0,20130.0,0.1,22143.0,275.0,275.0,87,18
43,141,2023-09-30,7427036,130.0,2023-10-19,3146000.0000000005,22000.0,0.1,24200.000000000004,126.643,126.643,88,18
44,141,2023-10-05,7456350,90.0,2023-10-08,2178000.0000000005,22000.0,0.1,24200.000000000004,0.0,0.0,89,18
45,236,2023-08-04,7434372,2400.0,2023-08-19,53724000.0,20350.0,0.1,22385.0,2390.25,2390.25,90,18
46,236,2023-08-28,7440738,240.0,2023-09-08,5488560.000000001,20790.0,0.1,22869.000000000004,239.41500000000002,239.41500000000002,83,18
47,13,2023-11-23,7452742,220.0,2023-12-06,8712000.0,39600.0,0.0,39600.0,220.00000000000003,220.00000000000003,55,18
48,63,2023-11-16,7450605,230.0,2023-12-11,11385000.000000002,45000.0,0.1,49500.00000000001,230.912,230.912,56,18
49,72,2023-11-16,7408597,310.0,2023-11-26,15754200.000000002,46200.0,0.1,50820.00000000001,312.07,312.07,57,18
50,147,2023-11-18,7460720,770.0,2023-12-07,30492000.0,36000.0,0.1,39600.0,772.9700000000001,772.9700000000001,58,18
51,163,2024-01-26,7412661,730.0,2024-01-30,14293400.0,17800.0,0.1,19580.0,734.844,734.844,53,18
52,218,2024-01-29,7421924,220.0,2024-02-05,10527000.000000002,43500.0,0.1,47850.00000000001,220.50600000000003,220.50600000000003,59,18
53,270,2023-11-18,7472211,100.0,2023-12-07,3960000.0,39600.0,0.0,39600.0,92.422,92.422,60,18
54,67,2023-12-01,7417189,250.0,2023-12-15,5500000.0,20000.0,0.1,22000.0,248.62200000000004,248.62200000000004,48,18
55,127,2023-12-06,7452489,410.0,2023-12-16,8794500.0,19500.0,0.1,21450.0,405.68000000000006,405.68000000000006,49,18
56,138,2023-11-30,7424085,1900.0,2023-12-18,48792000.0,23345.454545454544,0.1,25680.0,1917.652,1917.652,50,18
57,202,2023-12-07,7416426,160.0,2023-12-15,4108800.0,23345.454545454544,0.1,25680.0,163.72400000000002,163.72400000000002,51,18
58,255,2023-12-06,7472602,890.0,2023-12-18,19580000.0,20000.0,0.1,22000.0,892.364,892.364,52,18
59,112,2024-03-23,7441924,3700.0,2024-04-20,55944000.0,13745.454545454544,0.1,15120.0,3713.82,3713.82,47,18
60,16,2024-03-13,7474968,150.0,2024-04-07,9306000.000000002,56400.0,0.1,62040.00000000001,154.464,154.464,46,18
61,98,2024-08-02,7466473,140.0,2024-08-06,2116800.0,13745.454545454544,0.1,15120.0,135.013,134.883,41,18
62,28,2024-08-06,7422244,1200.0,2024-08-12,17952000.0,13599.999999999998,0.1,14960.0,1162.259,1159.659,42,18
63,114,2024-08-07,7406399,450.0,2024-08-18,5760000.0,11636.363636363636,0.1,12800.0,450.10200000000003,449.08200000000005,43,18
64,38,2024-08-02,7473968,2800.0,2024-08-30,504000.0,180.0,0.0,180.0,2722.741,2722.741,33,7
65,273,2024-08-29,7407195,2600.0,2024-08-30,6552000.0,2520.0,0.0,2520.0,2579.3014927083814,2579.3014927083814,33,32
66,275,2024-08-27,7481116,60.0,2024-08-30,181440.0,2520.0,0.2,3024.0,47.49904593952383,47.49904593952383,33,32
67,76,2024-08-07,7463778,2700.0,2024-08-30,39366000.0,13254.545454545454,0.1,14580.0,2722.741,2722.741,33,18
68,273,2024-09-16,7438467,60.0,2024-08-30,169830.0,2695.714285714286,0.05,2830.5,45.45120458463401,45.45120458463401,33,32
69,273,2024-08-29,7441135,60.0,2024-08-30,180360.0,2862.8571428571427,0.05,3006.0,46.538553976610906,46.538553976610906,33,32
70,118,2024-08-30,7457773,25.0,2024-09-30,376380.0,13909.090909090908,0.1,15300.0,22.14,22.14,44,18
71,158,2024-08-08,7464942,500.0,2024-08-18,7425000.000000001,14850.000000000002,0.0,14850.000000000002,0.0,0.0,45,18
72,286,2024-07-12,7479145,830.0,2024-07-15,11620000.0,12727.272727272726,0.1,14000.0,828.85,828.85,31,18
73,14,2024-08-27,7438472,75.0,2024-08-29,1277100.0,15479.999999999998,0.1,17028.0,88.48049999999999,88.0305,40,18
74,148,2024-08-02,7456944,210.0,2024-08-15,4319700.0,18700.0,0.1,20570.0,210.64000000000001,210.3,32,18
75,265,2024-08-15,7459512,50.0,2024-08-26,148500.00000000003,2970.0000000000005,0.0,2970.0000000000005,53.975,53.975,34,32
77,76,2024-08-19,7410225,1.0,2024-08-26,5500.0,4583.333333333334,0.2,5500.0,,0.0,34,37
78,38,2024-07-29,7442419,3900.0,2024-08-26,858000.0000000001,220.00000000000003,0.0,220.00000000000003,3861.125,3861.125,34,7
79,273,2024-08-22,7474854,450.0,2024-08-24,1134000.0,2520.0,0.0,2520.0,451.22817654692545,451.22817654692545,35,32
80,273,2024-08-18,7464319,2800.0,2024-08-26,9240000.000000002,3300.0000000000005,0.0,3300.0000000000005,2728.8999999999996,2728.8999999999996,34,32
81,275,2024-08-23,7416655,320.0,2024-08-26,1224960.0000000002,3190.0000000000005,0.2,3828.0000000000005,318.77500000000003,318.77500000000003,34,32
82,76,2024-08-03,7494784,3800.0,2024-08-26,66880000.0,15999.999999999998,0.1,17600.0,3861.125,3861.125,34,18
83,273,2024-08-18,7459692,740.0,2024-08-26,2360600.0000000005,3190.0000000000005,0.0,3190.0000000000005,735.2750000000001,735.2750000000001,34,32
84,47,2024-08-10,7446695,450.0,2024-08-24,6156000.0,12436.363636363636,0.1,13680.0,452.46500000000003,451.475,35,18
85,47,2024-08-10,7492477,60.0,2024-09-08,675000.0,10227.272727272726,0.1,11250.0,73.45499999999998,73.27499999999999,36,18
86,273,2024-09-11,7468616,58.0,2024-09-08,146160.0,2520.0,0.0,2520.0,73.23013775510202,73.23013775510202,36,32
